City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-01-20,14.6,8.0,10.8,13.0,6.2,9.2,2024-01-20T07:11,2024-01-20T17:26,13.7,27.0,98,9.83,507.9004166666667,452.2516666666666,54.47708333333333,117.92583333333333,22.16666666666667,27.840416666666666,5414.008749999999,45.74375,5.0
Islamabad,2024-01-21,14.0,6.5,9.6,11.7,4.0,7.6,2024-01-21T07:11,2024-01-21T17:27,15.2,30.2,335,10.8,532.6975000000001,480.1116666666667,47.086249999999986,120.96208333333333,24.039166666666663,19.88416666666667,5555.312083333334,41.46458333333333,5.0
Islamabad,2024-01-22,13.8,5.8,9.6,12.8,3.6,7.8,2024-01-22T07:10,2024-01-22T17:28,12.4,23.4,122,10.76,432.49458333333337,378.3283333333333,58.96291666666665,93.87875000000001,12.249583333333334,28.863750000000007,4916.668333333332,28.0525,5.0
Islamabad,2024-01-23,13.4,4.9,9.6,11.0,2.5,7.6,2024-01-23T07:10,2024-01-23T17:29,13.4,27.7,334,10.71,482.62999999999994,431.6891666666667,68.32208333333334,111.44375000000001,15.627500000000003,22.83375,5714.416666666668,37.85791666666667,5.0
Islamabad,2024-01-24,14.9,7.9,10.8,12.4,5.9,8.8,2024-01-24T07:09,2024-01-24T17:30,9.0,21.2,341,12.31,477.4579166666667,420.6408333333334,100.49374999999999,153.9125,20.24041666666667,36.78625,7032.870833333333,65.71041666666667,5.0
Islamabad,2024-01-25,13.7,6.5,10.5,11.7,3.8,8.3,2024-01-25T07:09,2024-01-25T17:31,10.6,18.7,353,6.93,486.2475000000001,429.37833333333333,118.27583333333332,149.37291666666667,5.892083333333333,38.69291666666666,7269.859166666668,67.46208333333334,5.0
Islamabad,2024-01-26,16.8,9.6,12.5,14.5,7.3,10.2,2024-01-26T07:08,2024-01-26T17:32,8.4,16.6,354,11.64,362.80041666666665,320.26374999999996,77.58958333333334,109.14500000000004,18.871249999999996,25.500416666666663,5188.703333333332,42.7775,5.0
Islamabad,2024-01-27,17.3,7.2,12.5,13.5,4.0,9.3,2024-01-27T07:08,2024-01-27T17:33,16.9,33.1,326,11.04,159.76083333333335,140.96541666666664,6.722083333333334,39.627500000000005,74.93166666666666,8.08708333333333,1871.98375,13.019583333333332,4.958333333333333
Islamabad,2024-01-28,16.9,9.7,13.2,16.0,8.3,11.5,2024-01-28T07:07,2024-01-28T17:34,15.0,33.1,339,6.76,157.07666666666668,128.94208333333333,70.26458333333333,70.7875,8.097083333333332,13.314583333333331,3814.062083333333,23.95708333333333,4.791666666666667
Islamabad,2024-01-29,17.7,10.0,13.2,16.3,8.3,11.7,2024-01-29T07:07,2024-01-29T17:35,13.1,24.5,37,10.64,124.19874999999998,98.53708333333333,21.01625,57.57916666666665,35.55583333333334,14.027083333333335,2281.1495833333333,13.51958333333333,4.5
